publication/pmid	epmc_pmcid	epmc_journal	epmc_year
31362694	PMC6664791	BMC bioinformatics	2019
34372798	PMC8351329	BMC cancer	2021
30295871	PMC6237755	Nucleic acids research	2018
32850117	PMC7431967	F1000Research	2020
33126851	PMC7602301	BMC bioinformatics	2020
33953534	PMC8042551	Cancer informatics	2021
33194817	PMC7658686	Frontiers in cellular and infection microbiology	2020
31137222		Mathematical biosciences and engineering : MBE	2019
34229736	PMC8259419	Arthritis research & therapy	2021
32286325	PMC7156652	Nature communications	2020
30008861	PMC6036478	Oncology letters	2018
25404408	PMC4289375	BMC genomics	2014
32933477	PMC7493359	BMC bioinformatics	2020
27362985	PMC5775817	IEEE/ACM transactions on computational biology and bioinformatics	2017
30046299	PMC6036855	Computational intelligence and neuroscience	2018
25280899	PMC4208705	Cold Spring Harbor perspectives in medicine	2014
22408447	PMC3292016	International journal of molecular sciences	2012
33240258	PMC7680913	Frontiers in immunology	2020
34526509	PMC8443583	Nature communications	2021
32344344		Food chemistry	2020
32298292	PMC7162491	PloS one	2020
33260881	PMC7760368	Biomolecules	2020
16634365		Lupus	2006
30819107	PMC6394031	BMC bioinformatics	2019
31479437	PMC6743778	PLoS computational biology	2019
29036374	PMC5860171	Bioinformatics (Oxford, England)	2017
27491922		Molecular informatics	2016
19994907	PMC3169429	ACS chemical biology	2010
22558141	PMC3340366	PloS one	2012
19630524	PMC2791337	Radiation research	2009
18221567	PMC2275242	BMC bioinformatics	2008
25849257	PMC4388847	PLoS computational biology	2015
34258160	PMC8261512	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	2021
33828982	PMC8019900	Frontiers in oncology	2021
30891794	PMC6510637	Medical physics	2019
34099697	PMC8185002	Nature communications	2021
32681213	PMC7718328	Journal of neurovirology	2020
33946997	PMC8125376	Molecules (Basel, Switzerland)	2021
27592011	PMC5079830	Journal of computer-aided molecular design	2016
33349236	PMC7751093	BMC genomics	2020
24977146	PMC4058174	BioMed research international	2014
